ISO3,Country,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52
#country+code,#country+name,#affected+date+w1,#affected+date+w2,#affected+date+w3,#affected+date+w4,#affected+date+w5,#affected+date+w6,#affected+date+w7,#affected+date+w8,#affected+date+w9,#affected+date+w10,#affected+date+w11,#affected+date+w12,#affected+date+w13,#affected+date+w14,#affected+date+w15,#affected+date+w16,#affected+date+w17,#affected+date+w18,#affected+date+w19,#affected+date+w20,#affected+date+w21,#affected+date+w22,#affected+date+w23,#affected+date+w24,#affected+date+w25,#affected+date+w26,#affected+date+w27,#affected+date+w28,#affected+date+w29,#affected+date+w30,#affected+date+w31,#affected+date+w32,#affected+date+w33,#affected+date+w34,#affected+date+w35,#affected+date+w36,#affected+date+w37,#affected+date+w38,#affected+date+w39,#affected+date+w40,#affected+date+w41,#affected+date+w42,#affected+date+w43,#affected+date+w44,#affected+date+w45,#affected+date+w46,#affected+date+w47,#affected+date+w48,#affected+date+w49,#affected+date+w50,#affected+date+w51,#affected+date+w52
BEN,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,40,52,61,57,54,46,53,37,33,19,18,24,20,4,0,0
BFA,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMR,Cameroon,0,0,0,0,0,1,0,2,0,2,0,2,2,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,2,0,2,0,1,2,0,0,0
TCD,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG,Congo,24,11,6,21,17,17,23,59,82,66,55,57,77,70,61,21,42,59,42,26,21,18,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIV,Cote d'Ivoire,0,0,0,2,2,0,2,1,1,2,1,0,1,1,2,6,0,2,0,0,1,0,5,0,2,1,6,0,0,2,0,0,1,1,0,0,0,2,7,1,1,0,0,0,0,2,0,0,0,0,0,0
COD,DR Congo,762,737,1045,1277,1013,1116,659,706,865,1251,1098,866,661,1298,1044,717,695,472,410,364,327,250,260,208,161,146,117,113,154,161,166,220,271,328,335,244,262,350,297,343,326,326,308,333,420,488,399,471,734,478,567,605
GHA,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,Guinea,0,0,0,0,0,0,0,0,0,0,0,14,67,4,3,2,0,0,0,0,2,6,5,8,3,1,0,0,0,14,27,15,17,14,9,22,14,13,7,7,0,4,2,2,1,1,0,1,1,0,0,22
GNB,Guinea Bissau,50,106,93,96,92,69,0,0,0,1,36,24,7,1,3,8,4,8,25,7,20,8,2,6,8,2,9,14,29,28,10,8,13,7,4,17,29,30,25,18,21,11,5,7,3,3,9,2,0,0,0,0
LBR,Liberia,12,5,0,0,3,0,1,15,5,5,8,2,3,5,3,6,2,2,4,3,3,2,3,5,6,0,4,0,0,0,0,0,0,0,0,0,0,2,2,4,1,3,4,4,3,0,0,0,0,0,0,0
MLI,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NER,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,78,35,19,25,1,8,16,45,8,14,5,1,3,7,11,6,8,16,26,34,12,4,14,8,8,4,4,2,1,0,0,0,7
NGA,Nigeria,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,91,21,459,95,0,54,53,62,0,0,196,0
CAF,RCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,Sierra Leone,33,41,46,39,52,40,18,5,19,22,8,10,2,5,5,3,3,8,4,0,0,0,0,2,0,0,1,0,0,0,1,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOG,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,24,8,8,26,22,21,11,2,9,11,18,0,0,0
