ISO3,Country,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52
#country+code,#country+name,#affected+date+w1,#affected+date+w2,#affected+date+w3,#affected+date+w4,#affected+date+w5,#affected+date+w6,#affected+date+w7,#affected+date+w8,#affected+date+w9,#affected+date+w10,#affected+date+w11,#affected+date+w12,#affected+date+w13,#affected+date+w14,#affected+date+w15,#affected+date+w16,#affected+date+w17,#affected+date+w18,#affected+date+w19,#affected+date+w20,#affected+date+w21,#affected+date+w22,#affected+date+w23,#affected+date+w24,#affected+date+w25,#affected+date+w26,#affected+date+w27,#affected+date+w28,#affected+date+w29,#affected+date+w30,#affected+date+w31,#affected+date+w32,#affected+date+w33,#affected+date+w34,#affected+date+w35,#affected+date+w36,#affected+date+w37,#affected+date+w38,#affected+date+w39,#affected+date+w40,#affected+date+w41,#affected+date+w42,#affected+date+w43,#affected+date+w44,#affected+date+w45,#affected+date+w46,#affected+date+w47,#affected+date+w48,#affected+date+w49,#affected+date+w50,#affected+date+w51,#affected+date+w52
BEN,Benin,1,1,21,10,21,8,8,8,10,9,8,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,81,84,35,2,0,3,0,2,6,5,7,0,18,65,76,23,13,120,107,53,36,11,1,0,0,0
BFA,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMR,Cameroon,0,1,1,0,1,2,0,1,0,2,0,11,2,0,2,5,3,3,19,11,16,35,26,62,69,223,256,262,261,183,198,139,90,79,104,54,55,61,57,44,135,178,133,256,150,60,72,14,10,4,1,4
TCD,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,21,3,0,0,0,7,61,19,20,3,5,7,2,0,0,1,0,0,0
COG,Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIV,Cote d'Ivoire,0,0,0,0,0,0,1,0,1,1,1,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,15,11,33,22,24,16,18,32,11,3,10,41
COD,DR Congo,569,614,393,403,471,346,390,526,499,608,370,256,553,501,371,347,232,253,242,289,246,275,163,266,283,198,185,139,229,177,176,108,267,280,544,559,628,614,495,532,432,494,429,347,465,499,367,308,280,344,399,344
GHA,Ghana,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,3,17,39,38,273,505,1209,2208,2032,2680,3087,2807,2468,2010,1978,1505,1192,1330,970,609,380,381,310,266,173,141,120,103
GIN,Guinea,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,Guinea Bissau,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,Liberia,4,2,5,6,5,7,4,2,2,2,5,4,2,2,2,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLI,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NER,Niger,4,1,4,4,3,2,28,20,11,17,10,11,8,1,1,1,0,7,0,0,1,22,36,9,1,0,39,19,19,6,3,1,5,32,42,151,251,237,230,121,154,111,36,17,46,27,31,2,0,118,99,60
NGA,Nigeria,238,100,273,470,1030,1103,969,915,857,1421,1395,1584,1892,1792,1727,1500,1160,773,613,855,1078,620,525,434,445,426,490,696,886,682,1244,787,926,680,611,615,746,497,350,516,792,339,289,236,156,64,50,28,35,32,36,18
CAF,RCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOG,Togo,0,0,0,0,0,3,21,5,1,0,1,0,0,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,5,9,11,22,21,25,15,15,15,16,17,13,3,22,25,6,16,15,10,5
