Week number,From Date,To Date
Week 01,"January 2, 2012","January 8, 2012"
Week 02,"January 9, 2012","January 15, 2012"
Week 03,"January 16, 2012","January 22, 2012"
Week 04,"January 23, 2012","January 29, 2012"
Week 05,"January 30, 2012","February 5, 2012"
Week 06,"February 6, 2012","February 12, 2012"
Week 07,"February 13, 2012","February 19, 2012"
Week 08,"February 20, 2012","February 26, 2012"
Week 09,"February 27, 2012","March 4, 2012"
Week 10,"March 5, 2012","March 11, 2012"
Week 11,"March 12, 2012","March 18, 2012"
Week 12,"March 19, 2012","March 25, 2012"
Week 13,"March 26, 2012","April 1, 2012"
Week 14,"April 2, 2012","April 8, 2012"
Week 15,"April 9, 2012","April 15, 2012"
Week 16,"April 16, 2012","April 22, 2012"
Week 17,"April 23, 2012","April 29, 2012"
Week 18,"April 30, 2012","May 6, 2012"
Week 19,"May 7, 2012","May 13, 2012"
Week 20,"May 14, 2012","May 20, 2012"
Week 21,"May 21, 2012","May 27, 2012"
Week 22,"May 28, 2012","June 3, 2012"
Week 23,"June 4, 2012","June 10, 2012"
Week 24,"June 11, 2012","June 17, 2012"
Week 25,"June 18, 2012","June 24, 2012"
Week 26,"June 25, 2012","July 1, 2012"
Week 27,"July 2, 2012","July 8, 2012"
Week 28,"July 9, 2012","July 15, 2012"
Week 29,"July 16, 2012","July 22, 2012"
Week 30,"July 23, 2012","July 29, 2012"
Week 31,"July 30, 2012","August 5, 2012"
Week 32,"August 6, 2012","August 12, 2012"
Week 33,"August 13, 2012","August 19, 2012"
Week 34,"August 20, 2012","August 26, 2012"
Week 35,"August 27, 2012","September 2, 2012"
Week 36,"September 3, 2012","September 9, 2012"
Week 37,"September 10, 2012","September 16, 2012"
Week 38,"September 17, 2012","September 23, 2012"
Week 39,"September 24, 2012","September 30, 2012"
Week 40,"October 1, 2012","October 7, 2012"
Week 41,"October 8, 2012","October 14, 2012"
Week 42,"October 15, 2012","October 21, 2012"
Week 43,"October 22, 2012","October 28, 2012"
Week 44,"October 29, 2012","November 4, 2012"
Week 45,"November 5, 2012","November 11, 2012"
Week 46,"November 12, 2012","November 18, 2012"
Week 47,"November 19, 2012","November 25, 2012"
Week 48,"November 26, 2012","December 2, 2012"
Week 49,"December 3, 2012","December 9, 2012"
Week 50,"December 10, 2012","December 16, 2012"
Week 51,"December 17, 2012","December 23, 2012"
Week 52,"December 24, 2012","December 30, 2012"
