date,flu remedies,meningitis symptoms,pcp pneumonia,flu vaccine,symptoms of meningitis,tuberculosis,flu during pregnancy,what is pneumonia,flu virus,pneumonia symptoms,home remedies for flu,meningitis vaccine,pneumonia treatment,pneumonia in children,swine flu symptoms,flu symptoms,symptoms of flu,tb meningitis,signs of meningitis,rsv virus,pneumonia causes,double pneumonia,aspiration pneumonia,meningitis symptoms in adults,what causes meningitis,cryptococcal meningitis,what is meningitis,symptoms of meningitis in adults,how to treat flu,swine flu,signs of pneumonia,rsv virus in infants,bacterial meningitis,colds and flu,what is flu,meningitis causes,flu medication,flu injection,bronchitis,cold and flu,symptoms of tb,flu treatment,bronchial pneumonia,viral meningitis,symptoms of pneumonia,is meningitis contagious,flu home remedies,causes of pneumonia
2012-06-03,32.83383283383284,38.59649122807018,0.0,17.0,25.641025641025642,57.0,50.0,44.44444444444444,100.0,38.0,26.58582089552239,0.0,25.0,50.0,5.0,22.0,28.125,0.0,0.0,22.727272727272727,25.0,0.0,56.52173913043478,0.0,0.0,37.5,23.076923076923077,0.0,0.0,5.0,0.0,0.0,22.89156626506024,19.0,58.064516129032256,22.22222222222222,95.83333333333333,0.0,41.0,36.0,37.03703703703704,0.0,49.01960784313726,24.0,53.26086956521739,0.0,52.0,35.0
2012-06-10,27.03962703962704,56.14035087719298,0.0,18.0,35.8974358974359,45.0,0.0,0.0,22.22222222222222,39.0,0.0,55.55555555555556,25.0,0.0,5.0,30.0,37.5,0.0,41.666666666666664,28.409090909090907,27.0,0.0,56.52173913043478,0.0,42.622950819672134,100.0,0.0,0.0,60.0,7.0,28.985507246376812,0.0,48.19277108433735,40.0,80.64516129032258,22.22222222222222,25.0,0.0,52.0,100.0,45.67901234567901,59.523809523809526,0.0,51.0,27.17391304347826,0.0,54.0,37.0
2012-06-17,42.49084249084249,38.59649122807018,50.0,9.0,20.512820512820515,29.0,35.714285714285715,44.44444444444444,50.0,29.0,26.58582089552239,0.0,25.0,57.142857142857146,5.0,29.0,21.875,75.0,0.0,28.409090909090907,0.0,0.0,0.0,0.0,0.0,0.0,23.076923076923077,0.0,60.0,7.0,0.0,0.0,24.096385542168676,20.0,77.41935483870968,22.22222222222222,25.0,9.090909090909092,36.0,12.0,45.67901234567901,0.0,49.01960784313726,100.0,0.0,71.15384615384616,53.0,0.0
2012-06-24,36.696636696636695,33.333333333333336,0.0,19.0,20.512820512820515,27.0,28.571428571428573,44.44444444444444,33.333333333333336,61.0,0.0,0.0,0.0,0.0,5.0,24.0,31.25,41.666666666666664,41.666666666666664,79.54545454545453,27.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,60.0,7.0,0.0,0.0,25.301204819277107,21.0,19.35483870967742,22.22222222222222,0.0,0.0,41.0,19.0,23.45679012345679,30.952380952380953,50.98039215686274,26.0,57.608695652173914,0.0,0.0,38.0
2012-07-01,52.14785214785215,31.57894736842105,100.0,9.0,35.8974358974359,19.0,50.0,44.44444444444444,38.888888888888886,20.0,82.55597014925372,0.0,25.0,0.0,10.0,23.0,28.125,75.0,0.0,28.409090909090907,53.0,0.0,0.0,39.39393939393939,0.0,0.0,30.76923076923077,0.0,0.0,10.0,0.0,0.0,24.096385542168676,20.0,0.0,22.22222222222222,25.0,0.0,52.0,25.0,23.45679012345679,88.0952380952381,49.01960784313726,0.0,27.17391304347826,48.07692307692308,27.0,36.0
2012-07-08,25.10822510822511,31.57894736842105,0.0,0.0,25.641025641025642,33.0,28.571428571428573,0.0,22.22222222222222,77.0,0.0,0.0,50.0,35.714285714285715,5.0,29.0,34.375,0.0,41.666666666666664,39.772727272727266,52.0,0.0,0.0,0.0,42.622950819672134,0.0,23.076923076923077,0.0,0.0,3.0,28.985507246376812,0.0,24.096385542168676,39.0,58.064516129032256,44.44444444444444,25.0,0.0,42.0,37.0,29.62962962962963,0.0,49.01960784313726,25.0,27.17391304347826,0.0,0.0,0.0
2012-07-15,32.83383283383284,14.035087719298245,0.0,0.0,20.512820512820515,42.0,100.0,77.77777777777777,22.22222222222222,18.0,25.186567164179102,0.0,25.0,35.714285714285715,0.0,22.0,34.375,75.0,33.333333333333336,22.727272727272727,0.0,56.81818181818182,0.0,0.0,0.0,37.5,0.0,0.0,60.0,3.0,40.57971014492754,0.0,0.0,19.0,19.35483870967742,22.22222222222222,50.0,9.090909090909092,52.0,18.0,28.395061728395063,0.0,0.0,0.0,78.26086956521739,0.0,51.0,0.0
2012-07-22,32.83383283383284,50.87719298245614,94.44444444444444,8.0,35.8974358974359,38.0,21.428571428571427,0.0,27.77777777777778,27.0,25.186567164179102,0.0,25.0,50.0,14.0,21.0,25.0,75.0,0.0,45.45454545454545,0.0,0.0,0.0,36.36363636363637,80.32786885245902,0.0,23.076923076923077,60.0,60.0,6.0,0.0,0.0,0.0,28.0,90.3225806451613,29.62962962962963,45.833333333333336,0.0,28.0,34.0,35.80246913580247,54.76190476190476,0.0,23.0,0.0,44.23076923076923,25.0,34.0
2012-07-29,30.902430902430904,35.08771929824562,0.0,8.0,0.0,44.0,0.0,77.77777777777777,38.888888888888886,27.0,0.0,0.0,45.0,100.0,7.0,19.0,12.5,0.0,33.333333333333336,22.727272727272727,48.0,0.0,0.0,36.36363636363637,0.0,62.5,0.0,0.0,0.0,8.0,26.08695652173913,0.0,43.373493975903614,0.0,19.35483870967742,22.22222222222222,45.833333333333336,0.0,61.0,34.0,48.148148148148145,26.19047619047619,45.09803921568628,0.0,75.0,0.0,24.0,66.0
2012-08-05,34.765234765234766,38.59649122807018,0.0,9.0,0.0,48.0,0.0,44.44444444444444,33.333333333333336,97.0,0.0,0.0,25.0,35.714285714285715,8.0,46.0,65.625,0.0,0.0,28.409090909090907,39.0,0.0,0.0,0.0,0.0,0.0,23.076923076923077,0.0,60.0,18.0,28.985507246376812,0.0,0.0,20.0,48.38709677419355,22.22222222222222,100.0,0.0,64.0,18.0,38.27160493827161,57.142857142857146,0.0,50.0,54.34782608695652,48.07692307692308,0.0,36.0
2012-08-12,38.62803862803863,56.14035087719298,0.0,12.0,35.8974358974359,50.0,21.428571428571427,33.333333333333336,16.666666666666668,35.0,23.78731343283582,0.0,0.0,0.0,14.0,43.0,50.0,0.0,0.0,22.727272727272727,47.0,52.27272727272727,50.0,0.0,37.704918032786885,0.0,30.76923076923077,0.0,40.0,14.0,26.08695652173913,0.0,42.16867469879518,0.0,45.16129032258065,40.74074074074074,79.16666666666667,0.0,76.0,28.0,34.5679012345679,52.38095238095238,0.0,0.0,48.91304347826087,0.0,24.0,32.0
2012-08-19,59.87345987345987,28.07017543859649,0.0,0.0,35.8974358974359,42.0,21.428571428571427,88.88888888888889,27.77777777777778,94.0,47.57462686567164,47.22222222222222,25.0,64.28571428571429,14.0,30.0,18.75,0.0,33.333333333333336,22.727272727272727,46.0,0.0,0.0,0.0,77.04918032786885,25.0,46.15384615384615,0.0,0.0,18.0,26.08695652173913,0.0,20.481927710843372,18.0,35.483870967741936,40.74074074074074,45.833333333333336,7.575757575757576,70.0,16.0,40.74074074074074,26.19047619047619,0.0,45.0,71.73913043478261,42.30769230769231,23.0,63.0
2012-08-26,46.353646353646354,63.1578947368421,0.0,0.0,41.02564102564103,44.0,0.0,33.333333333333336,72.22222222222223,35.0,72.76119402985074,47.22222222222222,25.0,0.0,5.0,20.0,18.75,0.0,0.0,0.0,23.0,52.27272727272727,0.0,34.84848484848485,37.704918032786885,0.0,15.384615384615385,40.0,0.0,6.0,0.0,0.0,42.16867469879518,18.0,45.16129032258065,100.0,33.333333333333336,7.575757575757576,57.0,44.0,40.74074074074074,26.19047619047619,0.0,0.0,48.91304347826087,44.23076923076923,71.0,32.0
