date,flu symptoms,swine flu,flu remedies,symptoms of flu,flu medication,flu vaccine,cat flu,flu home remedies,swine flu symptoms,home remedies for flu,flu during pregnancy,bird flu,cat flu in dogs,man flu,flu injection,home remedy for flu,what is mono,meningitis symptoms,symptoms of meningitis,meningitis causes,what is meningitis,tb meningitis,cryptococcal meningitis,meningitis in children,is meningitis contagious,causes of meningitis,what causes meningitis,meningitis symptoms children,symptoms of malaria,rsv virus,pneumonia symptoms,symptoms of pneumonia,pneumonia causes,pneumonia treatment,signs of pneumonia,pneumonia in children,bronchitis,bronchial pneumonia,what causes pneumonia,walking pneumonia,signs and symptoms of pneumonia,pcp pneumonia,lobar pneumonia
2012-06-03,14.285714285714286,9.0,43.5483870967742,12.5,0.0,10.169491525423728,0.0,47.66666666666667,0.0,28.571428571428573,91.75257731958763,0.0,0.0,27.272727272727273,0.0,13.365800865800866,0.0,39.0,16.129032258064516,0.0,32.69230769230769,0.0,0.0,31.48148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.35483870967742,0.0,27.272727272727273,0.0,44.0,54.0,0.0,0.0,0.0,0.0,0.0
2012-06-10,44.44444444444444,12.0,58.06451612903226,37.5,28.571428571428573,0.0,27.272727272727273,52.00000000000001,0.0,28.571428571428573,31.95876288659794,1.3880597014925375,0.0,0.0,0.0,0.0,0.0,31.0,16.129032258064516,30.0,34.61538461538461,25.174825174825173,100.0,0.0,54.09836065573771,37.93103448275862,0.0,0.0,26.0,0.0,14.285714285714286,22.911051212938006,0.0,23.076923076923077,27.272727272727273,60.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
2012-06-17,42.857142857142854,12.0,29.03225806451613,37.5,100.0,10.169491525423728,54.54545454545455,0.0,6.0,0.0,0.0,1.3880597014925375,44.285714285714285,0.0,0.0,0.0,0.0,31.0,32.25806451612903,44.285714285714285,0.0,0.0,0.0,33.333333333333336,52.459016393442624,0.0,0.0,0.0,0.0,12.0,27.61904761904762,22.911051212938006,38.70967741935484,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-24,30.158730158730158,3.0,29.03225806451613,25.0,28.571428571428573,10.169491525423728,54.54545454545455,26.000000000000004,0.0,57.142857142857146,32.98969072164948,1.4328358208955225,0.0,0.0,46.666666666666664,0.0,0.0,21.0,0.0,15.714285714285714,0.0,0.0,0.0,33.333333333333336,0.0,37.93103448275862,0.0,100.0,0.0,0.0,14.285714285714286,22.911051212938006,19.35483870967742,23.076923076923077,0.0,0.0,36.0,58.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,42.857142857142854,9.0,14.516129032258066,25.0,14.285714285714286,0.0,0.0,52.00000000000001,0.0,0.0,0.0,1.3880597014925375,0.0,28.181818181818183,0.0,0.0,0.0,62.0,100.0,30.0,34.61538461538461,0.0,0.0,100.0,0.0,37.93103448275862,50.76923076923077,0.0,0.0,0.0,41.904761904761905,44.294699011680144,38.70967741935484,0.0,0.0,0.0,70.0,0.0,58.16326530612245,100.0,0.0,0.0,0.0
2012-07-08,33.333333333333336,3.0,14.516129032258066,37.5,14.285714285714286,0.0,0.0,52.00000000000001,0.0,0.0,31.95876288659794,0.0,0.0,0.0,44.44444444444444,0.0,0.0,51.0,16.129032258064516,14.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,39.0,12.0,0.0,0.0,19.35483870967742,0.0,0.0,0.0,58.0,0.0,57.142857142857146,98.24561403508773,0.0,0.0,0.0
2012-07-15,17.46031746031746,3.0,29.03225806451613,12.5,14.285714285714286,0.0,50.0,0.0,0.0,0.0,0.0,1.2985074626865674,41.42857142857143,0.0,0.0,13.365800865800866,45.23809523809524,39.0,16.129032258064516,55.714285714285715,32.69230769230769,23.776223776223777,0.0,0.0,100.0,35.632183908045974,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,44.0,53.0,0.0,92.98245614035088,0.0,0.0,0.0
2012-07-22,26.984126984126984,0.0,38.70967741935484,25.0,0.0,0.0,27.272727272727273,47.66666666666667,17.0,52.38095238095238,29.896907216494846,0.0,0.0,0.0,0.0,0.0,0.0,19.0,16.129032258064516,14.285714285714286,0.0,0.0,47.22222222222222,31.48148148148148,0.0,0.0,0.0,0.0,24.0,11.2,13.333333333333334,21.38364779874214,16.129032258064516,0.0,0.0,0.0,60.0,0.0,54.08163265306123,0.0,0.0,0.0,0.0
2012-07-29,39.682539682539684,8.0,38.70967741935484,45.833333333333336,76.19047619047619,8.474576271186441,0.0,0.0,27.0,23.80952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,30.64516129032258,27.142857142857142,30.76923076923077,22.377622377622377,0.0,29.62962962962963,0.0,33.333333333333336,0.0,0.0,0.0,10.4,24.761904761904763,0.0,16.129032258064516,19.23076923076923,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-05,42.857142857142854,3.0,43.5483870967742,0.0,28.571428571428573,10.169491525423728,0.0,52.00000000000001,12.0,28.571428571428573,31.95876288659794,1.3880597014925375,0.0,0.0,0.0,0.0,47.61904761904762,20.0,16.129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,27.61904761904762,21.38364779874214,35.483870967741936,23.076923076923077,27.272727272727273,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-12,55.55555555555556,8.0,53.22580645161291,33.333333333333336,23.80952380952381,0.0,0.0,43.33333333333334,16.0,47.61904761904762,0.0,0.0,0.0,0.0,0.0,0.0,42.857142857142854,18.0,14.516129032258064,12.857142857142858,0.0,0.0,0.0,0.0,47.540983606557376,0.0,0.0,0.0,35.0,0.0,12.380952380952381,0.0,0.0,19.23076923076923,0.0,50.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-19,22.22222222222222,5.0,24.193548387096776,12.5,66.66666666666667,18.64406779661017,22.727272727272727,21.66666666666667,0.0,23.80952380952381,0.0,0.0,40.0,25.454545454545453,0.0,0.0,0.0,37.0,14.516129032258064,12.857142857142858,0.0,44.75524475524475,88.88888888888889,59.25925925925926,0.0,0.0,0.0,0.0,35.0,0.0,24.761904761904763,0.0,16.129032258064516,0.0,0.0,50.0,62.0,0.0,0.0,0.0,52.083333333333336,0.0,0.0
2012-08-26,38.095238095238095,13.0,38.70967741935484,45.833333333333336,23.80952380952381,0.0,45.45454545454545,0.0,0.0,23.80952380952381,0.0,0.0,38.57142857142857,0.0,0.0,0.0,0.0,73.0,58.064516129032256,0.0,30.76923076923077,65.73426573426573,0.0,29.62962962962963,0.0,33.333333333333336,0.0,0.0,0.0,0.0,24.761904761904763,0.0,16.129032258064516,38.46153846153846,0.0,0.0,51.0,100.0,0.0,0.0,0.0,0.0,0.0
2012-09-02,25.396825396825395,3.0,14.516129032258066,12.5,0.0,8.474576271186441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.857142857142854,18.0,14.516129032258064,12.857142857142858,0.0,22.377622377622377,0.0,88.88888888888889,0.0,0.0,0.0,0.0,23.0,10.4,37.142857142857146,59.56873315363882,100.0,57.69230769230769,0.0,100.0,83.0,0.0,51.02040816326531,0.0,0.0,0.0,0.0
2012-09-09,4.761904761904762,0.0,14.516129032258066,12.5,23.80952380952381,8.474576271186441,0.0,0.0,0.0,0.0,27.835051546391753,0.0,0.0,24.545454545454547,40.0,0.0,42.857142857142854,36.0,14.516129032258064,38.57142857142857,30.76923076923077,43.35664335664335,0.0,57.407407407407405,0.0,32.18390804597701,43.07692307692308,0.0,23.0,0.0,12.380952380952381,19.856244384546272,16.129032258064516,0.0,0.0,50.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-16,17.46031746031746,3.0,0.0,12.5,23.80952380952381,0.0,22.727272727272727,0.0,10.0,0.0,28.8659793814433,0.0,0.0,0.0,0.0,25.324675324675322,0.0,27.0,14.516129032258064,25.714285714285715,0.0,22.377622377622377,44.44444444444444,0.0,47.540983606557376,0.0,44.61538461538461,0.0,35.0,10.4,12.380952380952381,0.0,0.0,0.0,0.0,0.0,31.0,50.0,0.0,0.0,0.0,0.0,0.0
2012-09-23,28.571428571428573,6.0,29.03225806451613,25.0,0.0,10.169491525423728,27.272727272727273,0.0,0.0,0.0,62.88659793814433,0.0,42.857142857142854,0.0,0.0,0.0,47.61904761904762,20.0,16.129032258064516,0.0,0.0,0.0,47.22222222222222,0.0,0.0,0.0,0.0,0.0,13.0,0.0,27.61904761904762,21.38364779874214,0.0,23.076923076923077,0.0,0.0,40.0,0.0,0.0,0.0,0.0,97.0,0.0
2012-09-30,17.46031746031746,3.0,62.90322580645162,0.0,0.0,8.474576271186441,0.0,21.66666666666667,5.0,23.80952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.516129032258064,0.0,90.38461538461539,0.0,0.0,0.0,47.540983606557376,0.0,0.0,0.0,23.0,0.0,24.761904761904763,39.712488769092545,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-07,23.80952380952381,0.0,0.0,20.833333333333332,0.0,0.0,22.727272727272727,21.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.516129032258064,12.857142857142858,0.0,20.97902097902098,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,70.47619047619048,56.513926325247084,16.129032258064516,38.46153846153846,22.727272727272727,0.0,64.0,0.0,0.0,0.0,0.0,42.0,0.0
2012-10-14,3.1746031746031744,0.0,0.0,0.0,9.523809523809524,16.949152542372882,22.727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,27.419354838709676,11.428571428571429,0.0,0.0,0.0,53.7037037037037,0.0,31.03448275862069,0.0,0.0,0.0,0.0,57.142857142857146,18.328840970350406,16.129032258064516,0.0,22.727272727272727,100.0,38.0,0.0,0.0,0.0,0.0,41.0,75.92592592592592
2012-10-21,7.936507936507937,3.0,0.0,0.0,47.61904761904762,0.0,0.0,21.66666666666667,0.0,0.0,0.0,0.0,0.0,23.636363636363637,37.77777777777778,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,35.23809523809524,18.328840970350406,0.0,19.23076923076923,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-28,11.11111111111111,2.0,24.193548387096776,20.833333333333332,23.80952380952381,0.0,22.727272727272727,21.66666666666667,0.0,0.0,25.77319587628866,0.0,0.0,0.0,35.55555555555556,0.0,38.095238095238095,42.0,27.419354838709676,11.428571428571429,0.0,20.97902097902098,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,16.129032258064516,0.0,22.727272727272727,0.0,14.0,46.0,0.0,0.0,0.0,0.0,0.0
